employee_id,full_name,gender,age,hire_date,department_id,job_role_id,salary_egp,manager_id,commute_distance_km,commute_category,status,end_date,tenure_years,phone_number,total_working_years,years_since_last_promotion,overtime,leave_balance,role_fit_score
EMP-0001,Ayman Soliman,Male,36,2024-06-14,1,3,16800,,8.1,Near,Active,,1.55,01093568503,12,0,No,15,72.5
EMP-0002,Rana Gaber,Female,27,2024-12-18,8,22,10400,EMP-0150,7.9,Near,Active,,1.04,01176906611,3,0,No,2,46.7
EMP-0003,Salma Farouk,Female,32,2024-11-12,5,17,12400,EMP-0134,32.0,Far,Inactive,2025-06-05,0.56,01293940940,3,0,No,12,55.8
EMP-0004,Hassan Sherif,Male,34,2024-08-22,1,2,29000,EMP-0154,17.3,Medium,Inactive,2024-11-30,0.27,01269329732,6,0,No,2,43.3
EMP-0005,Wael Radwan,Male,46,2025-02-06,8,22,8000,EMP-0182,13.2,Medium,Active,,0.9,01116927215,14,0,No,17,46.7
EMP-0006,Omar Hafez,Male,22,2024-09-18,8,22,11200,EMP-0069,5.8,Near,Inactive,2025-04-08,0.55,01137321124,2,0,No,10,46.7
EMP-0007,Samy Hassan,Male,27,2024-11-27,8,22,8600,EMP-0131,23.6,Medium,Inactive,2025-03-27,0.33,01145843681,2,0,No,7,46.7
EMP-0008,Samar El-Shafei,Female,30,2024-07-14,1,1,13500,EMP-0137,41.3,Far,Inactive,2024-10-28,0.29,01583715012,9,0,Yes,5,77.5
EMP-0009,Essam El-Banna,Male,29,2025-01-23,5,17,9900,EMP-0115,23.4,Medium,Active,,0.94,01127584297,1,0,No,0,43.3
EMP-0010,Amal Mansour,Female,32,2024-03-21,3,11,12400,EMP-0100,1.0,Near,Inactive,2025-02-17,0.91,01048658617,5,0,No,0,58.3
EMP-0011,Mohamed Shalaby,Male,43,2025-05-21,5,16,20400,EMP-0064,14.2,Medium,Active,,0.62,01568802946,20,0,No,7,46.5
EMP-0012,Laila Hafez,Female,40,2025-05-17,8,22,6500,,1.7,Near,Active,,0.63,01575056916,8,0,Yes,4,46.7
EMP-0013,Manal Magdy,Female,45,2023-12-22,4,15,18900,EMP-0158,4.9,Near,Active,,2.03,01126297533,13,1,Yes,15,60.0
